image_path,label
CarDD_release/CarDD_COCO/train2017/000001.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000002.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000003.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000004.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000005.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000006.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000007.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000008.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000009.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000010.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000011.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000014.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000018.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000019.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000020.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000021.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000022.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000026.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000027.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000028.jpg,dent
CarDD_release/CarDD_COCO/train2017/000029.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000030.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000031.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000032.jpg,crack
CarDD_release/CarDD_COCO/train2017/000036.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000037.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000039.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000041.jpg,glass shatter
CarDD_release/CarDD_COCO/train2017/000043.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000045.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000046.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000048.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000049.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000050.jpg,scratch
CarDD_release/CarDD_COCO/train2017/000051.jpg,glass shatter
CarDD_release/CarDD_COCO/train2017/000052.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000053.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000055.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000056.jpg,tire flat
CarDD_release/CarDD_COCO/train2017/000061.jpg,glass shatter
CarDD_release/CarDD_COCO/train2017/000062.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000063.jpg,multiple_damage
CarDD_release/CarDD_COCO/train2017/000064.jpg,scratch
